dist_bin	dist_to_tss	type	direct_rate
(1.5e+05,2e+05]	174582.22172985045	direct_rate_all	0.00731577173862428
(1.5e+05,2e+05]	174582.22172985045	direct_rate_negative	0.006658207810085203
(1.5e+05,2e+05]	174582.22172985045	direct_rate_positive	0.0019060084921315474
(1e+05,1.5e+05]	124752.61638558125	direct_rate_all	0.011396536511054624
(1e+05,1.5e+05]	124752.61638558125	direct_rate_negative	0.013232236041705625
(1e+05,1.5e+05]	124752.61638558125	direct_rate_positive	5.521642356281335e-4
(2.5e+05,3e+05]	275091.15050494176	direct_rate_all	0.0018229899025930664
(2.5e+05,3e+05]	275091.15050494176	direct_rate_negative	0.0012416130847730262
(2.5e+05,3e+05]	275091.15050494176	direct_rate_positive	6.335140883451508e-4
(2e+05,2.5e+05]	224352.02031636686	direct_rate_all	8.079586880584987e-4
(2e+05,2.5e+05]	224352.02031636686	direct_rate_negative	0.0019749201925309077
(2e+05,2.5e+05]	224352.02031636686	direct_rate_positive	1.9747248757190244e-5
(3.5e+05,4e+05]	374349.88025305385	direct_rate_all	0.001502057365273296
(3.5e+05,4e+05]	374349.88025305385	direct_rate_negative	4.193877109631485e-4
(3.5e+05,4e+05]	374349.88025305385	direct_rate_positive	0.0011953891048775817
(3e+05,3.5e+05]	324592.29038507066	direct_rate_all	0.005155209224488817
(3e+05,3.5e+05]	324592.29038507066	direct_rate_negative	0.00277100188346924
(3e+05,3.5e+05]	324592.29038507066	direct_rate_positive	0.0057381765354286894
(4.5e+05,5e+05]	474571.1675196893	direct_rate_all	0.0010633985321396463
(4.5e+05,5e+05]	474571.1675196893	direct_rate_negative	9.81710151873942e-4
(4.5e+05,5e+05]	474571.1675196893	direct_rate_positive	3.243910213619538e-4
(4e+05,4.5e+05]	424664.690038248	direct_rate_all	0.0022875076680728703
(4e+05,4.5e+05]	424664.690038248	direct_rate_negative	0.0019249699978001965
(4e+05,4.5e+05]	424664.690038248	direct_rate_positive	0.0017181286855637357
(5.5e+05,6e+05]	575542.7706843311	direct_rate_all	0
(5.5e+05,6e+05]	575542.7706843311	direct_rate_negative	3.2198814284109934e-5
(5.5e+05,6e+05]	575542.7706843311	direct_rate_positive	4.0123507087814667e-4
(5e+04,1e+05]	73949.39414906767	direct_rate_all	0.03362225549920126
(5e+04,1e+05]	73949.39414906767	direct_rate_negative	0.03391093266666547
(5e+04,1e+05]	73949.39414906767	direct_rate_positive	0.0013885279140431516
(5e+05,5.5e+05]	524718.592456039	direct_rate_all	0.004307654760548489
(5e+05,5.5e+05]	524718.592456039	direct_rate_negative	0.0029654515599184645
(5e+05,5.5e+05]	524718.592456039	direct_rate_positive	0.0014339768340412924
(6.5e+05,7e+05]	675101.8348731974	direct_rate_all	6.638968878240213e-4
(6.5e+05,7e+05]	675101.8348731974	direct_rate_negative	2.2230749107124824e-4
(6.5e+05,7e+05]	675101.8348731974	direct_rate_positive	0.0025470120797591506
(6e+05,6.5e+05]	624294.0711577825	direct_rate_all	0.002018377727118919
(6e+05,6.5e+05]	624294.0711577825	direct_rate_negative	0.003475957791214622
(6e+05,6.5e+05]	624294.0711577825	direct_rate_positive	0.0010825298548754313
(7.5e+05,8e+05]	775456.627325137	direct_rate_all	2.844134596531843e-4
(7.5e+05,8e+05]	775456.627325137	direct_rate_negative	0.001057171174351037
(7.5e+05,8e+05]	775456.627325137	direct_rate_positive	4.0055200440384676e-5
(7e+05,7.5e+05]	725869.4401258318	direct_rate_all	0.0022753747416696143
(7e+05,7.5e+05]	725869.4401258318	direct_rate_negative	4.158741253332201e-4
(7e+05,7.5e+05]	725869.4401258318	direct_rate_positive	0.002426394040372677
(8.5e+05,9e+05]	874217.0303791102	direct_rate_all	0.001558951657985823
(8.5e+05,9e+05]	874217.0303791102	direct_rate_negative	0.002763605442176871
(8.5e+05,9e+05]	874217.0303791102	direct_rate_positive	0.002564327178283934
(8e+05,8.5e+05]	824262.1232481746	direct_rate_all	5.763198409581342e-4
(8e+05,8.5e+05]	824262.1232481746	direct_rate_negative	0
(8e+05,8.5e+05]	824262.1232481746	direct_rate_positive	0.0011389192968382228
(9.5e+05,1e+06]	975772.1536792334	direct_rate_all	7.525898648258804e-4
(9.5e+05,1e+06]	975772.1536792334	direct_rate_negative	0.0014648977480773355
(9.5e+05,1e+06]	975772.1536792334	direct_rate_positive	0
(9e+05,9.5e+05]	925065.818437401	direct_rate_all	7.800912673302472e-4
(9e+05,9.5e+05]	925065.818437401	direct_rate_negative	8.337156499795407e-4
(9e+05,9.5e+05]	925065.818437401	direct_rate_positive	4.678910559642745e-4
[0,5e+04]	25345.448767680162	direct_rate_all	0.1048231008123361
[0,5e+04]	25345.448767680162	direct_rate_negative	0.09982550734226804
[0,5e+04]	25345.448767680162	direct_rate_positive	0.005573112263144418
